微博正文,发布时间,ip
【联合国机构：#本轮巴以冲突影响加沙地带超40万学生#】每经AI快讯，半岛电视台当地时间1月6日援引联合国人道主义事务协调厅消息称，本轮巴以冲突影响了加沙地带400700名学生的教育，他们自去年10月7日以来一直没有上学，而且该地带约90%的校舍已成为流离失所者的庇护所。（央视新闻）O联合国机构：本轮巴以冲突影响加沙地带超40万学生,2024/1/6 23:48,
#巴以冲突#伊朗报纸《Hamshahri》：我们将对犹太复国主义者进行最后的报复。,2024/1/6 23:33,贵州
朝鲜200发炮弹震惊世界，让美国很难受！这一炮表面上看起来是警告韩国，实则是警告美国。俄乌战争、巴以冲突、胡塞武装等已经让美国焦头烂额，关键时刻朝鲜又放了一炮，美国分身无术！这一炮也许能够打破韩国对美国的幻想，让韩国回到现实；这一炮也许能给朝鲜半岛和整个东北亚带来和平。眼看半岛局势剑拔弩张，我国外交部发言人正式发话了：“中国正密切关注朝鲜半岛有关形势的发展变化，作为半岛邻居，中方希望各方保持冷静克制，不要采取加剧紧张的行动，避免局势进一步升级，为重启对话创造条件。”克制、慎战，能讲和就讲和，尽量不要动真格，这是我国的一贯立场和态度，希望当事双方用协商和对话解决冲突纠纷，中国愿意为世界和平与稳定发挥建设性作用。但是对于韩朝两国来说，这事恐怕没这么容易结束，金正恩早就说过，朝韩不再是同族关系，而是变成了敌对关系。朝鲜这次主动出击，可见金正恩已经做好了打仗的准备。,2024/1/6 23:24,广东
巴勒斯坦“圣城旅”发布了一段有趣的加沙作战视频：他们在加沙市南部的扎伊图恩社区以南锁定了以色列军队的一处大营，这里聚集有一些士兵、装甲车辆和用起重机抬高的监控设备。随后，他们使用火箭弹和迫击炮对这处大营实施了打击，他们利用墙洞发射火箭弹，并借助了一些灌木的掩护。视频显示，一些射弹落入了这处大营，以色列士兵在遭到攻击后乘坐轻装车辆逃离这里。#巴以冲突#来源：“圣城旅”官方L沙姆雄狮_EL的微博视频,2024/1/1 23:57,陕西
#巴以冲突#以色列军队在约旦河西岸杰里科市入口处，用巨石砸毁了一辆巴勒斯坦人的汽车。车主此前已经被以色列当局拘留。（来源:X原推特）L孤烟暮蝉的微博视频,2024/1/6 23:16,广东
这回下血本了，以色列片场发布所谓缴获视频，配上群演，重点展示亚辛打不穿梅卡瓦3来源：IDF#巴以冲突##以色列称坚决拒绝停火##以色列轰炸后的加沙尸横遍野#L蜗牛柯基的微博视频,2024/1/1 23:52,北京
2024年1月4日的以色列空袭中丧生加沙平民和儿童，两个儿童叫优素福和努拉的父亲撕心裂肺的痛哭！🙏#巴以冲突#L涛淼的微博视频,2024/1/6 23:15,山东
#巴以冲突#以色列式动员还是挺有特点，以色列媒体报道中宣称在加沙作战的“凤凰装甲营”，实际上一群老兵通过类似第一次中东战争的方式，自己攒了650名老兵名单，其中有些人15年前曾是优秀的坦克兵，然后在95辆报废坦克中挑出能维修的车辆。就像当年以军能够把S-199这样的捷克斯洛伐克“骡子”和一群打过二战的老兵动员起来，变回希伯来空中“军刀”一样。,2024/1/1 23:52,北京
库皮扬斯克方向俄军正在从亚戈德诺耶(Yahidne)向西推进。欢迎加入:消息实况互动群#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/6 23:14,广西
13岁女孩对着媒体的镜头发问：我们为什么不能过正常人的日子？我们是孩子！我们是人！以军夜袭加沙南部致妇孺被埋废墟下#巴以冲突#以色列#加沙##快手#@快手那你因为你们国家弱小可怜，人如蝼蚁，因为我们以前经历过L海南Time的快手视频,2024/1/5 23:41,上海
观天下·巴以冲突|尬！美国搞“红海护航”应者寥寥O网页链接,2024/1/1 23:49,广东
马克龙发布视频，法国军队在加沙空投人道主义援助物资。#法国##巴以冲突#L法国漂的微博视频,2024/1/6 23:13,摩洛哥
拜登对巴以冲突的处理不得人心：官员辞职，选民恐流失路透社，2024-01-04美国教育部一名高级官员周三以拜登总统处理加沙冲突的方式为由辞职，这是在以加战争死亡人数持续增加之际，美国政府内部出现不同意见的最新迹象。同样在周三，拜登连任竞选团队的17名工作人员在一封匿名信中警告称，拜登可能会因为这个问题失去选民。教育部规划、评估和政策发展办公室特别助理TariqHabash在给教育部长MiguelCardona的信中称：“我不能保持沉默，因为这届政府对无辜的巴勒斯坦人遭遇的暴行熟视无睹，这些暴行被主要人权专家称为以色列政府的种族灭绝运动。”Habash是一名巴勒斯坦裔美国人，也是一名学生债务问题专家，在拜登就任总统之初被任命为教育部学生贷款专员。拜登连任竞选团队的17名匿名工作人员在Medium网站上发表的信中敦促拜登呼吁加沙停火。这些工作人员在信中写道：“拜登竞选总统团队的工作人员看到志愿者们纷纷退出，几十年来一直投蓝色选票的人第一次因为这场冲突而感到不确定。”拜登的竞选团队没有立即回应置评请求。,2024/1/5 23:37,福建
新年新玩具，卡桑旅展示他们新年收获的以军四轴无人机，没有告诉是如何打下来的#巴以冲突##以军已恢复军事打击行动##以色列轰炸后的加沙尸横遍野#L靖难战神李景隆的微博视频,2024/1/1 23:43,广东
#巴以冲突#以色列武装恐怖组织使用国际公约禁止使用的白磷弹药攻击黎巴嫩南部城镇,2024/1/6 23:12,贵州
有人说那个“帮我救女儿是你们中国人的义务”的李春红已经嘠了（图1）。查了下《以色列时报》的“人质”专栏，暂时没有去世。原文写的是她向美国总统拜登求援，说她已经脑癌4期了，希望在她死之前能见到女儿NoaArgamani。一个细节：中文网络上她叫李春红，人家英文表述一直是LioraArgamani，也就是说早就随夫姓了，名字也改成外语Liora了。这么一个精制利己的人，嫁给外国人别说要求孩子随她姓，就连她自己的姓氏都改了，一家子齐齐整整，不得不说：外国保留的“传统文化”，也是有……#巴以冲突升级#,2024/1/4 23:59,江苏
我是站在正义的立场在以色列驻华大使馆微博评论下为巴勒斯坦人民发声，虽然我的正义评论被很多正义人士点赞但以色列驻华使馆工作人员仍然删除了我的正义评论，他们只想保留对自己有利的评论，哪怕是水军刷的不真实评论。有截图为证。#美国和以色列都是恐怖分子##以色列驻华使馆##巴以冲突##以色列删除对自己不利的评论#@以色列驻华使馆@以色列驻广州总领事馆@美国驻华大使馆@以色列在中国@伊朗驻华大使馆,2024/1/5 23:33,重庆
据《以色列时报》报道，以色列18岁男孩塔勒·米特尼克因拒绝服兵役被判处在军事监狱服刑30天。报道称，他是本轮巴以冲突爆发以来，已知的第一例因出于良心拒服兵役被判刑者。根据以色列反占领活动组织Mesarvot在社交平台X上发布的一段视频，米特尼克12月26日走入位于特拉维夫附近的特拉哈什默尔军事基地前对镜头说道：“我相信屠杀并不能根除屠杀。”他补充，“对加沙的罪恶袭击并不能根除哈马斯实施的残暴屠杀，暴力解决不了暴力，这就是我拒绝入伍的原因”。,2024/1/1 23:38,北京
布林肯专车被泼红油漆，遭反战民众堵门怒骂：真无耻！#巴以冲突##砂糖橘东北睡1宿变果脯#L一地山的微博视频,2024/1/6 23:12,河南
【以色列袭击加沙地带造成的死亡人数超过2.24万】#加沙地带#卫生部报告称，以色列袭击加沙地带所造成的死亡人数已超过22400人，受伤的人数超过了57600人。加沙地带卫生部在一份声明中说：“遭受以色列侵略遇难的人数上升至22438人，有57614人受伤。”#巴以冲突##巴以局势#O以色列袭击加沙地带造成的死亡人数超过2.24万,2024/1/4 23:50,
乌克兰-俄罗斯战争第679天：巴赫穆特以南局势：俄军继续扩大库久米夫卡以北的缓冲区。#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/3 23:58,广西
"⚡🇮🇱以色列国防部宣布，战后有12500名士兵可能被列为伤残者，这意味着他们患有不同程度的伤残。这远远高于以色列国防军迄今为止报告的伤亡人数。这12,500人是重伤者。受伤总人数要高得多。#巴以冲突#",2024/1/5 23:27,福建
巴勒斯坦“卡桑旅”发布视频，在加沙北部拜特拉希亚区西部使用60毫米迫击炮攻击以色列军队。#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/1 23:36,陕西
阿夫迪夫卡北翼，俄军在铁路线附近对乌军目标进行打击欢迎加入:消息实况互动群#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/6 23:12,广西
萨利赫·阿鲁里的遗体运往黎巴嫩贝鲁特的伊玛目阿里清真寺，葬礼在那里举行，英雄一路走好来源：نبضالتحرير💚🇵🇸💚#伊朗总统誓言报复以色列##伊朗爆炸事件死亡人数上升至103人##巴以冲突#L蜗牛柯基的微博视频,2024/1/4 23:50,北京
"【#土耳其#欢迎南非要求#联合国#国际法院对以色列提起诉讼】土耳其外交部发言人恩居·凯切利称，土耳其欢迎南非要求联合国国际法院对以色列提起诉讼，并希望这一程序尽快完成。由于#加沙地带#局势，南非已根据《防止及惩治灭绝种族罪公约》向位于海牙的联合国国际法院对以色列提起诉讼，敦促法院对以色列当局采取临时措施。南非方面称，以色列对加沙地带巴勒斯坦人采取的行动""违反了《防止及惩治灭绝种族罪公约》规定的义务""。凯切利指出，“我们欢迎南非向国际法院递交诉状，控告以色列违反1948年被纳入联合国决议案的《防止及惩治灭绝种族罪公约》规定的义务。以色列在加沙地带屠杀了22000多名巴勒斯坦平民，其中大多数是妇女和儿童，时间长达近三个月，这种行径不能不受到惩罚，必须根据国际法追究肇事者的责任。我们希望该程序能尽快完成。”#巴以冲突#O土耳其欢迎南非要求联合国国际法院对以色列提起诉讼",2024/1/3 23:56,
#巴以冲突#以色列张叫兽转发了一只躲在意大利的卖国贼李X的内容。李X说：1月5日，网友发现，在一则题为《犹太资本：世界已被我掌控》的视频中，满屏弹幕全部在“盼希归”。#黄媒不会说的真相#L小凡好摄的微博视频,2024/1/5 23:23,重庆
以色列国防军1月1日表示，哈马斯在新年伊始从加沙地带向以色列发射大量火箭弹。画面显示，火箭弹从加沙接连升空，背景传来民众欢呼和口哨声。#巴以冲突#L重庆张万森的微博视频,2024/1/1 23:35,重庆
那个缅甸港口的补充协议，除了99年外，最重要的一条就是，允许中国公司自行组建武装安保这才几个月啊，10月开始，我们从缅北代理人开打一路见证，见证到列强租界和海外武装，不到三个月，缅北这波下场真赚翻了#缅甸武装冲突##缅北武装冲突##巴以冲突##kn冰雨#更多精彩资讯分享公众号：吃瓜岱岱专栏,2024/1/2 23:56,四川
