,微博正文,发布时间,ip
2,"['以色列', '军队', '恢复', '军事行动', '小时', '真主党', '武装', '以色列', '北部', '边境', '确认', '发起', '袭击', '抵抗', '临时', '停火', '延长', '期内', '始终', '处于', '高度', '戒备状态', '包皮', '欧美', '演双簧', '假惺惺', '和谈', '口气', '回血', '套路', '阿拉伯', '世界', '熟悉', '巴以冲突', '以军', '恢复', '军事', '打击']",2023/12/1 23:56,广东
8,"['大主教', '发表', '言论', '谴责', '以色列', '加沙', '平民', '轰炸', '战争', '恐怖主义', '小看', '大主教', '西方', '世界', '威力', '至少', '天主教', '西欧', '南欧', '拉美', '大主教', '言论', '方向性', '教徒', '是非', '基督教', '新教', '大主教', '言论', '至少', '尊重', '参照', '感受', '风向', '变化', '巴以冲突', '以军', '恢复', '军事', '打击']",2023/12/1 23:33,广东
9,"['中国', '担任', '联合国安理会', '主席国', '期间', '已尽', '努力', '解决', '巴以冲突', '中国', '担任', '联合国安理会', '主席国', '中国', '常驻', '联合国', '代表团', '中国', '首要任务', '解决', '巴以冲突', '持续', '和平', '中国', '结束', '联合国安理会', '主席国', '任期', '厄瓜多尔', '接替', '中国', '担任', '主席国', '中国', '联合国安理会', '巴以冲突', '中国', '担任', '联合国安理会', '主席国', '期间', '已尽', '努力', '解决', '巴以冲突']",2023/12/1 0:00,
10,"['菜鸟', '军虫', '转发', '关注', '王毅', '呼吁', '回归', '方案', '解决', '巴以', '当地', '时间', '中共中央政治局', '委员', '外交部长', '王毅', '安理会', '巴以', '高级别', '会议', '媒体', '发表谈话', '呼吁', '回归', '方案', '正确轨道', '尽快', '建立', '独立', '巴勒斯坦国', '关系', '巴勒斯坦', '人民', '前途', '命运', '国家', '否决权', '以色列', '巴勒斯坦', '冲突', '总台', '记者', '徐德智', '央视', '军事', '微博', '视频']",2023/11/30 23:59,广东
21,"['看完', '感受', '不争', '埋怨', '战争', '投降', '军队', '恐惧', '想象', '面对', '暴行', '害怕', '日本', '至今', '不肯', '道歉', '支持', '台独', '愤怒', '剩下', '安稳', '生活', '庆幸', '文中说', '暴行', '置之不理', '世界', '身陷囹圄', '如同', '巴以冲突', '置之不理', '感受', '南京大屠杀']",2023/11/29 23:42,北京
31,"['格局', '格局', '三观', '做人', '格局', '格局', '原因', '恰恰', '是因为', '格局', '世界', '风云', '巴以冲突', '美国', '总统', '一毛钱', '关系', '明星', '出轨', '网红', '关注', '关注', '口袋', '干净', '小人物', '关注', '利益', '精力', '放在', '研究', '提升', '生活', '美好', '选比', '管闲事', '有用', '精力', '有限', '时间', '一去不复返', '屈服于', '周围环境', '压力', '想要', '更好', '真的', '专注', '几本书']",2023/11/28 23:40,江苏
32,"['哈以均', '同意', '延长', '停火', '美军', '解救', '被劫持', '船只', '乌克兰', '局势', '局势', '最新进展', '战争', '速报', '战争', '战争', '速报', '巴以冲突', '以色列', '哈马斯', '加沙', '以军', '包围', '加沙城', '哈以均', '同意', '延长', '停火', '美军', '解救', '被劫持', '船只']",2023/11/28 23:32,北京
33,"['耶路撒冷', '地区', '检察官', '指控', '记者', '煽动', '恐怖主义', '耶路撒冷', '地区', '检察官', '办公室', '报道', '记者', '面临', '煽动', '恐怖主义', '恐怖组织', '指控', '阿扎', '页面', '分享', '袭击', '以色列', '帖子', '被捕', '资料', '来源', '耶路撒冷', '邮报', '巴以冲突', '身为', '里中横', '微博', '视频']",2023/11/28 23:30,陕西
35,"['台湾', '大选', '国民党', '胜出', '巴以冲突', '坐井观天', '台湾', '深深', '现实', '场面', '位置', '逻辑', '美国', '台湾', '中国', '开战', '只能', '当为', '棋子', '要挟', '制衡', '旗子', '随时', '丢弃', '台湾人', '真实', '中国', '大陆', '对抗', '等于', '鸡蛋', '石头', '关键', '美国', '台独', '倾向', '真党', '上台', '国民党', '肯定']",2023/11/27 23:47,广东
54,"['巴以冲突', '加沙', '停火', '和平', '转机', '猛攻', '前奏', '中方', '免签', '试点', '释放', '高水平', '开放', '红利', '外媒', '全球', '车企', '纷纷', '入股', '中国', '造车', '势力', '金正恩', '视察', '侦察', '卫星', '运行', '情况', '日本', '高楼', '正式', '对外', '营业', '央视网', '宇宙', '黑洞', '火凤凰', '微博', '视频']",2023/11/25 23:45,四川
56,"['加沙', '地带', '停火协议', '正式', '生效', '以防', '短暂', '停火', '结束', '加沙', '以色列国防军', '哈马斯', '海上', '部队', '指挥官', '击毙', '哈马斯', '暂无', '回应', '巴以冲突', '已致', '死亡', '加沙', '地带', '死亡', '人数', '包括', '超过', '儿童', '妇女', '胡塞', '武装', '军事行动', '以色列', '停止', '侵略', '埃及', '总统', '绝不', '接受', '加沙', '地带', '巴勒斯坦人', '迁移', '埃及']",2023/11/25 23:39,浙江
